id,language,key,value,created_at,updated_at
e573b479-60f0-4981-8e93-8b49e04c40cc,en,subcategories.books,Books,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
e5cc3365-ea1c-4808-b9b4-4845d43e7e34,pt-BR,ui.required,Obrigatório,2025-03-11 15:35:51.393939+00,2025-03-11 15:35:51.393939+00
e5cf6539-a9f5-4e36-8dc6-6d98dbc724aa,en,tags.vscode,vscode,2025-03-11 18:47:58.506637+00,2025-03-11 18:47:58.506637+00
e61e7d25-613b-4433-be06-f39945905ecf,en,resource.addedToFavorites,Added to favorites,2025-03-10 21:25:23.910641+00,2025-03-10 22:17:57.773514+00
e69bd9c6-0f1b-4c28-abc8-644d8d64da78,pt-BR,common.loading,Carregando...,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
e7c8be28-6001-45d5-be79-e14f1c337f1f,en,status.supabase.status.checking,CHECKING,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
e837fbca-b90e-4f62-b885-0962c2280148,pt-BR,profile.favorites.title,Seus Favoritos,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
e84450f3-8175-4002-8f0e-42672a59803e,pt-BR,common.viewAll,Ver todos,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
e87de321-f6a4-478a-a960-a15c88230f3c,pt-BR,home.sections.empty,Nenhum recurso encontrado,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
e90a4744-69fd-4bd6-9d03-0ed87e14033c,en,ui.cancel,Cancel,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
ea7bdd56-8994-4187-aa22-05cb363d18e4,en,common.refresh,Refresh,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
eabc15ef-6331-4cf2-844f-ee4e6692f7c1,en,resource.notFound,Resource not found,2025-03-11 15:35:51.393939+00,2025-03-11 15:35:51.393939+00
eb64b1ab-95ec-4b41-aaf1-27a54dfa35a8,en,favorites.removed,Removed from favorites,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
eb85adf9-0274-4740-aac3-0b6a1ffe1054,pt-BR,profile.accountInfo.title,Informações da Conta,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
ecc9e223-b3c2-4433-952e-d7b6f9c61ece,pt-BR,home.filters.noTags,Nenhuma tag disponível,2025-03-11 18:20:36.101134+00,2025-03-11 18:20:36.101134+00
ed1a6c8a-6123-4a2e-b91f-6fa5a61e1f17,en,comments.posting,Posting...,2025-03-11 18:47:58.506637+00,2025-03-11 18:47:58.506637+00
ed39cab4-40fb-4fed-809f-3a2f5ccf2c03,en,subcategories.reference,Reference,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
ed569b6b-d250-4ef5-8d1f-47423f7a668d,pt-BR,home.categories.all,Todas as Categorias,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
ed83240f-1202-4b06-8af3-16ffd07f8ed1,en,subcategories.moodboard,Moodboard,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
edcb8d80-47c0-4145-91ac-2520cd2e5f5e,en,home.sections.recentUploads,Recent Uploads,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
ee597672-271a-48df-a98c-fdd7b5011027,pt-BR,home.stats.resources,Recursos,2025-03-10 22:17:57.773514+00,2025-03-10 22:17:57.773514+00
eecd7d0b-e252-49f8-a6c0-f183d097babc,en,submit.errors.notSignedIn,You must be signed in to submit a resource,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
eef8f477-bde2-472e-8d9f-e52b315b25a8,en,category.filters.active,Active Filters,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
eff45669-ddd6-4da5-ac8f-e39fc6d778f6,pt-BR,common.favorites,Favoritos,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f009ace2-5781-416d-b515-67e4721c1aa5,pt-BR,subcategories.sfx,Efeitos Sonoros,2025-03-10 21:08:48.918996+00,2025-03-10 22:17:57.773514+00
f0314c2d-7d92-4c18-8e16-f6234dea3929,pt-BR,common.cancel,Cancelar,2025-03-11 13:56:46.837146+00,2025-03-11 13:56:46.837146+00
